fyear,sgvkey,sconm,stic,cgvkey,cconm,ctic,salecs,srcdate
2016,001094,ACETO CORP,ACETQ,031673,CENCORA INC,COR,78.193,2016-06-30
2017,001094,ACETO CORP,ACETQ,031673,CENCORA INC,COR,76.598,2017-06-30
2017,001094,ACETO CORP,ACETQ,007171,MCKESSON CORP,MCK,70.215,2017-06-30
2018,001094,ACETO CORP,ACETQ,031673,CENCORA INC,COR,113.817,2018-06-30
2018,001094,ACETO CORP,ACETQ,007171,MCKESSON CORP,MCK,78.249,2018-06-30
2015,001161,ADVANCED MICRO DEVICES,AMD,012141,MICROSOFT CORP,MSFT,,2015-12-31
2015,001161,ADVANCED MICRO DEVICES,AMD,009818,SONY GROUP CORPORATION,SONY,,2015-12-31
2016,001161,ADVANCED MICRO DEVICES,AMD,005606,HP INC,HPQ,427.2,2016-12-31
2016,001161,ADVANCED MICRO DEVICES,AMD,012141,MICROSOFT CORP,MSFT,,2016-12-31
2016,001161,ADVANCED MICRO DEVICES,AMD,009818,SONY GROUP CORPORATION,SONY,,2016-12-31
2017,001161,ADVANCED MICRO DEVICES,AMD,005606,HP INC,HPQ,319.74,2017-12-31
2017,001161,ADVANCED MICRO DEVICES,AMD,012141,MICROSOFT CORP,MSFT,,2017-12-31
2017,001161,ADVANCED MICRO DEVICES,AMD,009818,SONY GROUP CORPORATION,SONY,,2017-12-31
2018,001161,ADVANCED MICRO DEVICES,AMD,005606,HP INC,HPQ,453.25,2018-12-31
2018,001161,ADVANCED MICRO DEVICES,AMD,012141,MICROSOFT CORP,MSFT,,2018-12-31
2015,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,49.865,2015-03-31
2015,001210,AIR T INC,AIRT,003851,DELTA AIR LINES INC,DAL,3.082,2015-03-31
2016,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,68.227,2016-03-31
2016,001210,AIR T INC,AIRT,003851,DELTA AIR LINES INC,DAL,3.725,2016-03-31
2017,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,69.558,2017-03-31
2017,001210,AIR T INC,AIRT,003851,DELTA AIR LINES INC,DAL,4.263,2017-03-31
2018,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,72.845,2018-03-31
2018,001210,AIR T INC,AIRT,003851,DELTA AIR LINES INC,DAL,8.213,2018-03-31
2019,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,72.978,2019-03-31
2019,001210,AIR T INC,AIRT,003851,DELTA AIR LINES INC,DAL,7.896,2019-03-31
2020,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,71.036,2020-03-31
2021,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,64.795,2021-03-31
2022,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,72.602,2022-03-31
2023,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,89.036,2023-03-31
2015,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,21.925,2015-09-30
2016,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,46.898,2016-09-30
2017,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,111.197,2017-09-30
2018,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,70.396,2018-09-30
2019,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,108.318,2019-09-30
2020,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,80.388,2020-09-30
2021,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,84.136,2021-09-30
2022,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,73.791,2022-09-30
2023,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,32.403,2023-09-30
2016,001327,SKYWORKS SOLUTIONS INC,SWKS,104604,SAMSUNG ELECTRONICS CO LTD,SSNHZ,,2016-09-30
2017,001327,SKYWORKS SOLUTIONS INC,SWKS,104604,SAMSUNG ELECTRONICS CO LTD,SSNHZ,,2017-09-30
2017,001327,SKYWORKS SOLUTIONS INC,SWKS,213212,FOXCONN TECHNOLOGY CO LTD,,,2017-09-30
2018,001327,SKYWORKS SOLUTIONS INC,SWKS,001690,APPLE INC,AAPL,1817.96,2018-09-30
2019,001327,SKYWORKS SOLUTIONS INC,SWKS,001690,APPLE INC,AAPL,1722.168,2019-09-30
2020,001327,SKYWORKS SOLUTIONS INC,SWKS,001690,APPLE INC,AAPL,1879.192,2020-09-30
2021,001327,SKYWORKS SOLUTIONS INC,SWKS,001690,APPLE INC,AAPL,3014.369,2021-09-30
2022,001327,SKYWORKS SOLUTIONS INC,SWKS,001690,APPLE INC,AAPL,3181.59,2022-09-30
2023,001327,SKYWORKS SOLUTIONS INC,SWKS,001690,APPLE INC,AAPL,3149.784,2023-09-30
2015,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,005680,HOME DEPOT INC,HD,8.651,2015-04-30
2016,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,005680,HOME DEPOT INC,HD,9.087,2016-04-30
2017,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,005680,HOME DEPOT INC,HD,8.246,2017-04-30
2018,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,005680,HOME DEPOT INC,HD,8.307,2018-04-30
2019,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,005680,HOME DEPOT INC,HD,9.403,2019-04-30
2020,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,005680,HOME DEPOT INC,HD,5.939,2020-04-30
2021,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,005680,HOME DEPOT INC,HD,5.52,2021-04-30
2022,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,005680,HOME DEPOT INC,HD,6.52,2022-04-30
2023,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,005680,HOME DEPOT INC,HD,3.235,2023-04-30
2015,001602,AMGEN INC,AMGN,002751,CARDINAL HEALTH INC,CAH,5045,2015-12-31
2015,001602,AMGEN INC,AMGN,007171,MCKESSON CORP,MCK,8766,2015-12-31
2015,001602,AMGEN INC,AMGN,031673,CENCORA INC,COR,10038,2015-12-31
2015,001602,AMGEN INC,AMGN,100751,UCB SA,UCBJY,,2015-12-31
2015,001602,AMGEN INC,AMGN,028272,ASTRAZENECA PLC,AZN,,2015-12-31
2016,001602,AMGEN INC,AMGN,002751,CARDINAL HEALTH INC,CAH,6520,2016-12-31
2016,001602,AMGEN INC,AMGN,007171,MCKESSON CORP,MCK,9710,2016-12-31
2016,001602,AMGEN INC,AMGN,031673,CENCORA INC,COR,10100,2016-12-31
2017,001602,AMGEN INC,AMGN,002751,CARDINAL HEALTH INC,CAH,7049,2017-12-31
2017,001602,AMGEN INC,AMGN,007171,MCKESSON CORP,MCK,10625,2017-12-31
2017,001602,AMGEN INC,AMGN,031673,CENCORA INC,COR,10742,2017-12-31
2018,001602,AMGEN INC,AMGN,002751,CARDINAL HEALTH INC,CAH,7475,2018-12-31
2018,001602,AMGEN INC,AMGN,007171,MCKESSON CORP,MCK,11434,2018-12-31
2018,001602,AMGEN INC,AMGN,031673,CENCORA INC,COR,12091,2018-12-31
2019,001602,AMGEN INC,AMGN,002751,CARDINAL HEALTH INC,CAH,6538,2019-12-31
2019,001602,AMGEN INC,AMGN,007171,MCKESSON CORP,MCK,11795,2019-12-31
2019,001602,AMGEN INC,AMGN,031673,CENCORA INC,COR,12301,2019-12-31
2020,001602,AMGEN INC,AMGN,002751,CARDINAL HEALTH INC,CAH,7332,2020-12-31
2020,001602,AMGEN INC,AMGN,007171,MCKESSON CORP,MCK,13779,2020-12-31
2020,001602,AMGEN INC,AMGN,031673,CENCORA INC,COR,14743,2020-12-31
2021,001602,AMGEN INC,AMGN,002751,CARDINAL HEALTH INC,CAH,7681,2021-12-31
2021,001602,AMGEN INC,AMGN,007171,MCKESSON CORP,MCK,15187,2021-12-31
2021,001602,AMGEN INC,AMGN,031673,CENCORA INC,COR,14783,2021-12-31
2022,001602,AMGEN INC,AMGN,002751,CARDINAL HEALTH INC,CAH,8319,2022-12-31
2022,001602,AMGEN INC,AMGN,007171,MCKESSON CORP,MCK,17305,2022-12-31
2022,001602,AMGEN INC,AMGN,031673,CENCORA INC,COR,15443,2022-12-31
2023,001602,AMGEN INC,AMGN,002751,CARDINAL HEALTH INC,CAH,9775,2023-12-31
2023,001602,AMGEN INC,AMGN,007171,MCKESSON CORP,MCK,19035,2023-12-31
2023,001602,AMGEN INC,AMGN,031673,CENCORA INC,COR,16625,2023-12-31
2017,001632,ANALOG DEVICES INC,ADI,001690,APPLE INC,AAPL,715.05,2017-10-31
2019,001632,ANALOG DEVICES INC,ADI,001773,ARROW ELECTRONICS INC,ARW,1797.32,2019-10-31
2020,001632,ANALOG DEVICES INC,ADI,001773,ARROW ELECTRONICS INC,ARW,1624.886,2020-10-31
2021,001632,ANALOG DEVICES INC,ADI,001773,ARROW ELECTRONICS INC,ARW,1902.754,2021-10-31
2022,001632,ANALOG DEVICES INC,ADI,001773,ARROW ELECTRONICS INC,ARW,2643.07,2022-10-31
2023,001632,ANALOG DEVICES INC,ADI,001773,ARROW ELECTRONICS INC,ARW,3076.385,2023-10-31
2015,001633,ANALOGIC CORP,ALOG,008546,KONINKLIJKE PHILIPS NV,PHG,75.641,2015-07-31
2015,001633,ANALOGIC CORP,ALOG,010622,TOSHIBA CORP,TOSYY,59.432,2015-07-31
2015,001633,ANALOGIC CORP,ALOG,110685,L3 TECHNOLOGIES INC,LLL.1,70.238,2015-07-31
2015,001633,ANALOGIC CORP,ALOG,019349,SIEMENS AG,SIEGY,59.432,2015-07-31
2016,001633,ANALOGIC CORP,ALOG,008546,KONINKLIJKE PHILIPS NV,PHG,66.15,2016-07-31
2016,001633,ANALOGIC CORP,ALOG,010622,TOSHIBA CORP,TOSYY,55.973,2016-07-31
2016,001633,ANALOGIC CORP,ALOG,110685,L3 TECHNOLOGIES INC,LLL.1,,2016-07-31
2016,001633,ANALOGIC CORP,ALOG,019349,SIEMENS AG,SIEGY,61.062,2016-07-31
2017,001633,ANALOGIC CORP,ALOG,008546,KONINKLIJKE PHILIPS NV,PHG,68.092,2017-07-31
2017,001633,ANALOGIC CORP,ALOG,010622,TOSHIBA CORP,TOSYY,,2017-07-31
2017,001633,ANALOGIC CORP,ALOG,110685,L3 TECHNOLOGIES INC,LLL.1,,2017-07-31
2017,001633,ANALOGIC CORP,ALOG,005047,GE AEROSPACE,GE,,2017-07-31
2017,001633,ANALOGIC CORP,ALOG,019349,SIEMENS AG,SIEGY,58.365,2017-07-31
2015,001661,NABORS INDUSTRIES LTD,NBR,334426,SAUDI ARABIAN OIL CO,,463.732,2015-12-31
2016,001661,NABORS INDUSTRIES LTD,NBR,334426,SAUDI ARABIAN OIL CO,,735.187,2016-12-31
2017,001661,NABORS INDUSTRIES LTD,NBR,334426,SAUDI ARABIAN OIL CO,,727.7,2017-12-31
2018,001661,NABORS INDUSTRIES LTD,NBR,334426,SAUDI ARABIAN OIL CO,,733.829,2018-12-31
2021,001661,NABORS INDUSTRIES LTD,NBR,334426,SAUDI ARABIAN OIL CO,,625.44,2021-12-31
2022,001661,NABORS INDUSTRIES LTD,NBR,334426,SAUDI ARABIAN OIL CO,,689.979,2022-12-31
2015,001678,APA CORP,APA,012384,SHELL PLC,SHEL,702.13,2015-12-31
2016,001678,APA CORP,APA,140756,CHINA PETROLEUM & CHEMICAL,SNPMF,1127.07,2016-12-31
2017,001678,APA CORP,APA,012384,SHELL PLC,SHEL,353.22,2017-12-31
2017,001678,APA CORP,APA,140756,CHINA PETROLEUM & CHEMICAL,SNPMF,941.92,2017-12-31
2017,001678,APA CORP,APA,002410,BP PLC,BP,706.44,2017-12-31
2018,001678,APA CORP,APA,140756,CHINA PETROLEUM & CHEMICAL,SNPMF,1102.2,2018-12-31
2018,001678,APA CORP,APA,002410,BP PLC,BP,1249.16,2018-12-31
2019,001678,APA CORP,APA,140756,CHINA PETROLEUM & CHEMICAL,SNPMF,694.65,2019-12-31
2019,001678,APA CORP,APA,002410,BP PLC,BP,631.5,2019-12-31
2020,001678,APA CORP,APA,237349,VITAL GROUP PLC,,565.18,2020-12-31
2015,001704,APPLIED MATERIALS INC,AMAT,201395,TAIWAN SEMICONDUCTOR MFG CO,TSM,1448.85,2015-10-31
2016,001704,APPLIED MATERIALS INC,AMAT,104604,SAMSUNG ELECTRONICS CO LTD,SSNHZ,1407.25,2016-10-31
2016,001704,APPLIED MATERIALS INC,AMAT,006008,INTEL CORP,INTC,1190.75,2016-10-31
2016,001704,APPLIED MATERIALS INC,AMAT,201395,TAIWAN SEMICONDUCTOR MFG CO,TSM,1732,2016-10-31
2016,001704,APPLIED MATERIALS INC,AMAT,007343,MICRON TECHNOLOGY INC,MU,1190.75,2016-10-31
2017,001704,APPLIED MATERIALS INC,AMAT,104604,SAMSUNG ELECTRONICS CO LTD,SSNHZ,3343.51,2017-10-31
2017,001704,APPLIED MATERIALS INC,AMAT,006008,INTEL CORP,INTC,,2017-10-31
2017,001704,APPLIED MATERIALS INC,AMAT,201395,TAIWAN SEMICONDUCTOR MFG CO,TSM,2180.55,2017-10-31
2017,001704,APPLIED MATERIALS INC,AMAT,007343,MICRON TECHNOLOGY INC,MU,,2017-10-31
2018,001704,APPLIED MATERIALS INC,AMAT,104604,SAMSUNG ELECTRONICS CO LTD,SSNHZ,2242.89,2018-10-31
2018,001704,APPLIED MATERIALS INC,AMAT,006008,INTEL CORP,INTC,1897.83,2018-10-31
2018,001704,APPLIED MATERIALS INC,AMAT,201395,TAIWAN SEMICONDUCTOR MFG CO,TSM,1897.83,2018-10-31
2018,001704,APPLIED MATERIALS INC,AMAT,007343,MICRON TECHNOLOGY INC,MU,,2018-10-31
2019,001704,APPLIED MATERIALS INC,AMAT,006008,INTEL CORP,INTC,1752.96,2019-10-31
2019,001704,APPLIED MATERIALS INC,AMAT,201395,TAIWAN SEMICONDUCTOR MFG CO,TSM,2045.12,2019-10-31
2020,001704,APPLIED MATERIALS INC,AMAT,104604,SAMSUNG ELECTRONICS CO LTD,SSNHZ,3096.36,2020-10-31
2020,001704,APPLIED MATERIALS INC,AMAT,006008,INTEL CORP,INTC,0,2020-10-31
2020,001704,APPLIED MATERIALS INC,AMAT,201395,TAIWAN SEMICONDUCTOR MFG CO,TSM,3096.36,2020-10-31
2021,001704,APPLIED MATERIALS INC,AMAT,104604,SAMSUNG ELECTRONICS CO LTD,SSNHZ,4612.6,2021-10-31
2021,001704,APPLIED MATERIALS INC,AMAT,006008,INTEL CORP,INTC,,2021-10-31
2021,001704,APPLIED MATERIALS INC,AMAT,201395,TAIWAN SEMICONDUCTOR MFG CO,TSM,3459.45,2021-10-31
2022,001704,APPLIED MATERIALS INC,AMAT,104604,SAMSUNG ELECTRONICS CO LTD,SSNHZ,3094.2,2022-10-31
2022,001704,APPLIED MATERIALS INC,AMAT,006008,INTEL CORP,INTC,2578.5,2022-10-31
2022,001704,APPLIED MATERIALS INC,AMAT,201395,TAIWAN SEMICONDUCTOR MFG CO,TSM,5157,2022-10-31
2023,001704,APPLIED MATERIALS INC,AMAT,006008,INTEL CORP,INTC,,2023-10-31
2023,001704,APPLIED MATERIALS INC,AMAT,201395,TAIWAN SEMICONDUCTOR MFG CO,TSM,5038.23,2023-10-31
2015,001712,TRECORA RESOURCES,TREC,004503,EXXON MOBIL CORP,XOM,48.637,2015-12-31
2016,001712,TRECORA RESOURCES,TREC,004503,EXXON MOBIL CORP,XOM,42.692,2016-12-31
2017,001712,TRECORA RESOURCES,TREC,004503,EXXON MOBIL CORP,XOM,39.889,2017-12-31
2018,001712,TRECORA RESOURCES,TREC,004503,EXXON MOBIL CORP,XOM,41.27,2018-12-31
2019,001712,TRECORA RESOURCES,TREC,004503,EXXON MOBIL CORP,XOM,38.844,2019-12-31
2020,001712,TRECORA RESOURCES,TREC,004503,EXXON MOBIL CORP,XOM,32.128,2020-12-31
2021,001712,TRECORA RESOURCES,TREC,004503,EXXON MOBIL CORP,XOM,36.54,2021-12-31
2015,001718,ADVANCED OXYGEN TECHNOLOGY,AOXY,220546,EQUINOR ASA,EQNR,0.039,2015-06-30
2016,001718,ADVANCED OXYGEN TECHNOLOGY,AOXY,220546,EQUINOR ASA,EQNR,0.036,2016-06-30
2015,001823,ASTRONICS CORP,ATRO,007114,PANASONIC HOLDINGS CORP,PCRHY,145.379,2015-12-31
2015,001823,ASTRONICS CORP,ATRO,002285,BOEING CO,BA,89.996,2015-12-31
2015,001823,ASTRONICS CORP,ATRO,001690,APPLE INC,AAPL,90.689,2015-12-31
2016,001823,ASTRONICS CORP,ATRO,007114,PANASONIC HOLDINGS CORP,PCRHY,136.755,2016-12-31
2016,001823,ASTRONICS CORP,ATRO,002285,BOEING CO,BA,96.235,2016-12-31
2017,001823,ASTRONICS CORP,ATRO,007114,PANASONIC HOLDINGS CORP,PCRHY,119.273,2017-12-31
2017,001823,ASTRONICS CORP,ATRO,002285,BOEING CO,BA,104.91,2017-12-31
2018,001823,ASTRONICS CORP,ATRO,007114,PANASONIC HOLDINGS CORP,PCRHY,115.669,2018-12-31
2018,001823,ASTRONICS CORP,ATRO,002285,BOEING CO,BA,114.866,2018-12-31
2019,001823,ASTRONICS CORP,ATRO,007114,PANASONIC HOLDINGS CORP,PCRHY,100.451,2019-12-31
2019,001823,ASTRONICS CORP,ATRO,002285,BOEING CO,BA,105.087,2019-12-31
2020,001823,ASTRONICS CORP,ATRO,007114,PANASONIC HOLDINGS CORP,PCRHY,55.787,2020-12-31
2020,001823,ASTRONICS CORP,ATRO,002285,BOEING CO,BA,47.746,2020-12-31
2021,001823,ASTRONICS CORP,ATRO,007114,PANASONIC HOLDINGS CORP,PCRHY,,2021-12-31
2021,001823,ASTRONICS CORP,ATRO,002285,BOEING CO,BA,44.491,2021-12-31
2022,001823,ASTRONICS CORP,ATRO,007114,PANASONIC HOLDINGS CORP,PCRHY,,2022-12-31
2022,001823,ASTRONICS CORP,ATRO,002285,BOEING CO,BA,58.838,2022-12-31
2015,001860,ATWOOD OCEANICS,ATW,002991,CHEVRON CORP,CVX,156.099,2015-09-30
2015,001860,ATWOOD OCEANICS,ATW,007912,NOBLE ENERGY INC,NBL,227.682,2015-09-30
2015,001860,ATWOOD OCEANICS,ATW,012384,SHELL PLC,SHEL,201.19,2015-09-30
2015,001860,ATWOOD OCEANICS,ATW,100712,WOODSIDE ENERGY GROUP LTD,WDS,166.796,2015-09-30
2015,001860,ATWOOD OCEANICS,ATW,186276,KOSMOS ENERGY LTD,KOS,142.701,2015-09-30
2015,001860,ATWOOD OCEANICS,ATW,001678,APA CORP,APA,39.233,2015-09-30
2016,001860,ATWOOD OCEANICS,ATW,002991,CHEVRON CORP,CVX,118.471,2016-09-30
2016,001860,ATWOOD OCEANICS,ATW,007912,NOBLE ENERGY INC,NBL,179.545,2016-09-30
2016,001860,ATWOOD OCEANICS,ATW,012384,SHELL PLC,SHEL,213.785,2016-09-30
2016,001860,ATWOOD OCEANICS,ATW,186276,KOSMOS ENERGY LTD,KOS,184.475,2016-09-30
2015,001864,REX AMERICAN RESOURCES CORP,REX,001722,ARCHER-DANIELS-MIDLAND CO,ADM,,2015-01-31
2015,001864,REX AMERICAN RESOURCES CORP,REX,134464,CHS INC,9919B,,2015-01-31
2016,001864,REX AMERICAN RESOURCES CORP,REX,001722,ARCHER-DANIELS-MIDLAND CO,ADM,,2016-01-31
2016,001864,REX AMERICAN RESOURCES CORP,REX,134464,CHS INC,9919B,,2016-01-31
2015,001878,AUTODESK INC,ADSK,012171,TECH DATA CORP,TECD,628.05,2015-01-31
2016,001878,AUTODESK INC,ADSK,012171,TECH DATA CORP,TECD,626.025,2016-01-31
2017,001878,AUTODESK INC,ADSK,012171,TECH DATA CORP,TECD,609.3,2017-01-31
2018,001878,AUTODESK INC,ADSK,012171,TECH DATA CORP,TECD,637.546,2018-01-31
2019,001878,AUTODESK INC,ADSK,012171,TECH DATA CORP,TECD,899.43,2019-01-31
2020,001878,AUTODESK INC,ADSK,012171,TECH DATA CORP,TECD,1146.005,2020-01-31
2020,001878,AUTODESK INC,ADSK,063919,INGRAM MICRO INC,IM,327.43,2020-01-31
2021,001878,AUTODESK INC,ADSK,012171,TECH DATA CORP,TECD,1402.448,2021-01-31
2021,001878,AUTODESK INC,ADSK,063919,INGRAM MICRO INC,IM,379.04,2021-01-31
2022,001878,AUTODESK INC,ADSK,012171,TECH DATA CORP,TECD,1579.104,2022-01-31
2022,001878,AUTODESK INC,ADSK,063919,INGRAM MICRO INC,IM,394.776,2022-01-31
2023,001878,AUTODESK INC,ADSK,012171,TECH DATA CORP,TECD,1851.85,2023-01-31
2023,001878,AUTODESK INC,ADSK,063919,INGRAM MICRO INC,IM,450.45,2023-01-31
2015,001988,BALL CORP,BALL,003144,COCA-COLA CO,KO,879.67,2015-12-31
2016,001988,BALL CORP,BALL,003144,COCA-COLA CO,KO,815.49,2016-12-31
2016,001988,BALL CORP,BALL,003505,MOLSON COORS BEVERAGE CO,TAP,815.49,2016-12-31
2016,001988,BALL CORP,BALL,241637,ANHEUSER-BUSCH INBEV,BUD,634.27,2016-12-31
2017,001988,BALL CORP,BALL,003144,COCA-COLA CO,KO,1208.13,2017-12-31
2017,001988,BALL CORP,BALL,003505,MOLSON COORS BEVERAGE CO,TAP,768.81,2017-12-31
2017,001988,BALL CORP,BALL,241637,ANHEUSER-BUSCH INBEV,BUD,1537.62,2017-12-31
2018,001988,BALL CORP,BALL,003144,COCA-COLA CO,KO,1396.2,2018-12-31
2018,001988,BALL CORP,BALL,003505,MOLSON COORS BEVERAGE CO,TAP,814.45,2018-12-31
2018,001988,BALL CORP,BALL,241637,ANHEUSER-BUSCH INBEV,BUD,1512.55,2018-12-31
2019,001988,BALL CORP,BALL,003144,COCA-COLA CO,KO,1032.66,2019-12-31
2019,001988,BALL CORP,BALL,241637,ANHEUSER-BUSCH INBEV,BUD,1376.88,2019-12-31
2020,001988,BALL CORP,BALL,003144,COCA-COLA CO,KO,1060.29,2020-12-31
2020,001988,BALL CORP,BALL,241637,ANHEUSER-BUSCH INBEV,BUD,1531.53,2020-12-31
2021,001988,BALL CORP,BALL,003144,COCA-COLA CO,KO,1381.1,2021-12-31
2021,001988,BALL CORP,BALL,241637,ANHEUSER-BUSCH INBEV,BUD,1657.32,2021-12-31
2022,001988,BALL CORP,BALL,003144,COCA-COLA CO,KO,1688.39,2022-12-31
2022,001988,BALL CORP,BALL,241637,ANHEUSER-BUSCH INBEV,BUD,1995.37,2022-12-31
2023,001988,BALL CORP,BALL,003144,COCA-COLA CO,KO,1543.19,2023-12-31
2023,001988,BALL CORP,BALL,241637,ANHEUSER-BUSCH INBEV,BUD,1823.77,2023-12-31
2015,002049,BARNES GROUP INC,B,005047,GE AEROSPACE,GE,209.967,2015-12-31
2015,002049,BARNES GROUP INC,B,100737,VOLKSWAGEN AG,VWAGY,45.287,2015-12-31
2016,002049,BARNES GROUP INC,B,005047,GE AEROSPACE,GE,207.315,2016-12-31
2016,002049,BARNES GROUP INC,B,100737,VOLKSWAGEN AG,VWAGY,52.845,2016-12-31
2016,002049,BARNES GROUP INC,B,010983,RTX CORP,RTX,44.715,2016-12-31
2017,002049,BARNES GROUP INC,B,005047,GE AEROSPACE,GE,254.43,2017-12-31
2017,002049,BARNES GROUP INC,B,100737,VOLKSWAGEN AG,VWAGY,69.39,2017-12-31
2017,002049,BARNES GROUP INC,B,010983,RTX CORP,RTX,46.26,2017-12-31
2018,002049,BARNES GROUP INC,B,005047,GE AEROSPACE,GE,270.627,2018-12-31
2018,002049,BARNES GROUP INC,B,100737,VOLKSWAGEN AG,VWAGY,75.174,2018-12-31
2018,002049,BARNES GROUP INC,B,010983,RTX CORP,RTX,30.07,2018-12-31
2019,002049,BARNES GROUP INC,B,005047,GE AEROSPACE,GE,313.135,2019-12-31
2019,002049,BARNES GROUP INC,B,100737,VOLKSWAGEN AG,VWAGY,82.892,2019-12-31
2019,002049,BARNES GROUP INC,B,010983,RTX CORP,RTX,55.261,2019-12-31
2020,002049,BARNES GROUP INC,B,005047,GE AEROSPACE,GE,191.146,2020-12-31
2020,002049,BARNES GROUP INC,B,100737,VOLKSWAGEN AG,VWAGY,53.141,2020-12-31
2021,002049,BARNES GROUP INC,B,005047,GE AEROSPACE,GE,199.3,2021-12-31
2021,002049,BARNES GROUP INC,B,100737,VOLKSWAGEN AG,VWAGY,36.236,2021-12-31
2022,002049,BARNES GROUP INC,B,005047,GE AEROSPACE,GE,252.374,2022-12-31
2023,002049,BARNES GROUP INC,B,005047,GE AEROSPACE,GE,304.683,2023-12-31
2017,002124,BEL FUSE INC,BELFB,203177,HON HAI PRECISION IND CO LTD,HNHAY,57.7,2017-12-31
2015,002154,BEMIS CO INC,BMS,005568,KRAFT HEINZ CO,KHC,488.568,2015-12-31
2016,002154,BEMIS CO INC,BMS,005568,KRAFT HEINZ CO,KHC,440.484,2016-12-31
2017,002154,BEMIS CO INC,BMS,005568,KRAFT HEINZ CO,KHC,404.62,2017-12-31
2018,002154,BEMIS CO INC,BMS,005568,KRAFT HEINZ CO,KHC,449.889,2018-12-31
2015,002176,BERKSHIRE HATHAWAY,BRK.B,011259,WALMART INC,WMT,11573.52,2015-12-31
2015,002176,BERKSHIRE HATHAWAY,BRK.B,011259,WALMART INC,WMT,1426.48,2015-12-31
2015,002176,BERKSHIRE HATHAWAY,BRK.B,009872,7-ELEVEN INC,SE.3,,2015-12-31
2015,002176,BERKSHIRE HATHAWAY,BRK.B,065417,YUM BRANDS INC,YUM,,2015-12-31
2016,002176,BERKSHIRE HATHAWAY,BRK.B,011259,WALMART INC,WMT,12018.75,2016-12-31
2016,002176,BERKSHIRE HATHAWAY,BRK.B,011259,WALMART INC,WMT,1981.25,2016-12-31
2016,002176,BERKSHIRE HATHAWAY,BRK.B,009872,7-ELEVEN INC,SE.3,,2016-12-31
2016,002176,BERKSHIRE HATHAWAY,BRK.B,065417,YUM BRANDS INC,YUM,,2016-12-31
2017,002176,BERKSHIRE HATHAWAY,BRK.B,011259,WALMART INC,WMT,12443.75,2017-12-31
2017,002176,BERKSHIRE HATHAWAY,BRK.B,011259,WALMART INC,WMT,1556.25,2017-12-31
2017,002176,BERKSHIRE HATHAWAY,BRK.B,009872,7-ELEVEN INC,SE.3,5475.25,2017-12-31
2017,002176,BERKSHIRE HATHAWAY,BRK.B,065417,YUM BRANDS INC,YUM,5475.25,2017-12-31
2018,002176,BERKSHIRE HATHAWAY,BRK.B,011259,WALMART INC,WMT,10997.14,2018-12-31
2018,002176,BERKSHIRE HATHAWAY,BRK.B,011259,WALMART INC,WMT,2002.86,2018-12-31
2018,002176,BERKSHIRE HATHAWAY,BRK.B,009872,7-ELEVEN INC,SE.3,5498.57,2018-12-31
2018,002176,BERKSHIRE HATHAWAY,BRK.B,065417,YUM BRANDS INC,YUM,5498.57,2018-12-31
2019,002176,BERKSHIRE HATHAWAY,BRK.B,011259,WALMART INC,WMT,10091.6,2019-12-31
2019,002176,BERKSHIRE HATHAWAY,BRK.B,009872,7-ELEVEN INC,SE.3,6054.96,2019-12-31
2019,002176,BERKSHIRE HATHAWAY,BRK.B,065417,YUM BRANDS INC,YUM,5550.38,2019-12-31
2020,002176,BERKSHIRE HATHAWAY,BRK.B,011259,WALMART INC,WMT,8431.2,2020-12-31
2020,002176,BERKSHIRE HATHAWAY,BRK.B,009872,7-ELEVEN INC,SE.3,6089.2,2020-12-31
2020,002176,BERKSHIRE HATHAWAY,BRK.B,065417,YUM BRANDS INC,YUM,5152.4,2020-12-31
